fight_id,prop_type,side,market_class,our_prob,fair_implied,edge,decimal_odds,outcome,pnl_per_unit
775c1f401815bbd8,b_method_SUB,yes,method,0.03812974397618114,,-0.03879333294689579,13.0,0,-1.0
775c1f401815bbd8,r_method_SUB,yes,method,0.07618159266334044,,0.03270333179377523,23.0,0,-1.0
775c1f401815bbd8,b_inside_distance,yes,inside_distance,0.19793153599389526,0.15492957746478872,0.04300195852910654,6.0,0,-1.0
775c1f401815bbd8,b_inside_distance,no,inside_distance,0.8020684640061048,0.8450704225352113,-0.04300195852910649,1.1,1,0.10000000000000009
775c1f401815bbd8,r_inside_distance,yes,inside_distance,0.21455224056206085,0.48987854251012153,-0.2753263019480607,1.9090909090909092,1,0.9090909090909092
775c1f401815bbd8,r_inside_distance,no,inside_distance,0.7854477594379392,0.5101214574898786,0.2753263019480606,1.8333333333333335,0,-1.0
775c1f401815bbd8,b_method_DEC,yes,method,0.3867877506699131,,0.1867877506699131,5.0,0,-1.0
775c1f401815bbd8,r_method_DEC,yes,method,0.20072847277413058,,-0.06593819389253608,3.75,0,-1.0
775c1f401815bbd8,b_wins_round_1,yes,wins_round,0.08777963594237582,,-0.01222036405762418,10.0,0,-1.0
775c1f401815bbd8,r_wins_round_1,yes,wins_round,0.09515066647964379,,-0.1905636192346419,3.5,1,2.5
775c1f401815bbd8,b_wins_round_2,yes,wins_round,0.08387324967500356,,0.0069501727519266365,13.0,0,-1.0
775c1f401815bbd8,r_wins_round_2,yes,wins_round,0.09091625319144786,,-0.09090192862673396,5.5,0,-1.0
775c1f401815bbd8,b_wins_round_3,yes,wins_round,0.026278650376515864,,-0.026352928570852554,19.0,0,-1.0
775c1f401815bbd8,r_wins_round_3,yes,wins_round,0.02848532089096918,,-0.07151467910903082,10.0,0,-1.0
775c1f401815bbd8,ends_round_1,yes,ends_round,0.443484841875239,,0.0962626196530168,2.88,1,1.88
775c1f401815bbd8,ends_round_2,yes,ends_round,0.4237487940152722,,0.2237487940152722,5.0,0,-1.0
775c1f401815bbd8,ends_round_3,yes,ends_round,0.1327663641094887,,0.007766364109488694,8.0,0,-1.0
358f816aff469270,total_rounds_1.5,over,total_rounds,0.14057008980866836,0.5768983268983269,-0.4363282370896585,1.6134969325153374,0,-1.0
358f816aff469270,total_rounds_1.5,under,total_rounds,0.8594299101913316,0.4231016731016731,0.4363282370896585,2.2,1,1.2000000000000002
358f816aff469270,distance,yes,distance,0.4786687845119034,0.375,0.10366878451190342,2.5,0,-1.0
358f816aff469270,distance,no,distance,0.5213312154880966,0.625,-0.10366878451190342,1.5,1,0.5
358f816aff469270,b_method_KO_TKO,yes,method,0.19348468987260933,,-0.13984864346072398,3.0,1,2.0
358f816aff469270,r_method_KO_TKO,yes,method,0.195711754667097,,-0.08206602311068079,3.6,0,-1.0
358f816aff469270,b_method_SUB,yes,method,0.0701227318291527,,-0.0548772681708473,8.0,0,-1.0
358f816aff469270,r_method_SUB,yes,method,0.06201203911923748,,0.018533778249672263,23.0,0,-1.0
358f816aff469270,b_inside_distance,yes,inside_distance,0.26360742170176205,0.375,-0.11139257829823795,2.5,1,1.5
358f816aff469270,b_inside_distance,no,inside_distance,0.7363925782982379,0.625,0.1113925782982379,1.5,0,-1.0
358f816aff469270,r_inside_distance,yes,inside_distance,0.2577237937863345,0.27439024390243905,-0.01666645011610457,3.4,0,-1.0
358f816aff469270,r_inside_distance,no,inside_distance,0.7422762062136655,0.7256097560975611,0.01666645011610446,1.2857142857142856,1,0.2857142857142856
358f816aff469270,b_method_DEC,yes,method,0.21865173902561738,,-0.04801492764104928,3.75,0,-1.0
