fight_idx,bet_side,our_prob,implied_prob,edge,kelly_frac,bet_amount,pnl,bankroll,outcome
5132,B,0.3592370518489123,0.3389830508474576,0.02025400100145469,0.00766016704542197,24.042647761354505,-24.042647761354505,3114.6157677523615,0
5133,B,0.43488865451872283,0.2857142857142857,0.14917436880443713,0.052211029081553,162.61729442798207,-162.61729442798207,2951.9984733243796,0
5134,B,0.4379808444525676,0.423728813559322,0.01425203089324556,0.006182866343393268,18.251812006465617,-18.251812006465617,2933.746661317914,0
5135,A,0.5343048193218785,0.35714285714285715,0.1771619621790213,0.06889631862517494,202.12434474370218,363.8238205386639,3297.5704818565778,1
5136,A,0.4370870313868689,0.3333333333333333,0.10375369805353557,0.03890763677007583,128.30067453179967,-128.30067453179967,3169.269807324778,0
5137,A,0.4785614875874816,0.45454545454545453,0.024016033042027096,0.011007348477595767,34.88525718874662,-34.88525718874662,3134.3845501360315,0
5138,B,0.43988007880771807,0.3076923076923077,0.13218777111541036,0.04773447290278708,149.61819437538287,-149.61819437538287,2984.766355760649,0
5139,B,0.5153917211440111,0.3999999999999999,0.1153917211440112,0.04807988381000465,143.507219584983,-143.507219584983,2841.259136175666,0
5140,B,0.519251306099564,0.36363636363636365,0.1556149424632004,0.06113444168197159,173.69879096390022,-173.69879096390022,2667.5603452117657,0
5141,B,0.565987791929842,0.21052631578947367,0.3554614761403684,0.1125628007777833,300.26806370078685,-300.26806370078685,2367.2922815109787,0
5142,A,0.4824198270141467,0.4166666666666667,0.06575316034748002,0.02817992586320571,66.71012098951849,-66.71012098951849,2300.58216052146,0
5143,B,0.6603406888406055,0.6047430830039526,0.05559760583665285,0.03516548569168294,80.90108904835844,52.87652878977675,2353.458689311237,1
5144,A,0.4863993604732174,0.4,0.08639936047321739,0.03599973353050725,84.72388569026137,-84.72388569026137,2268.7348036209755,0
5145,A,0.5537711928472898,0.48780487804878053,0.06596631479850928,0.03219784412784382,73.04836957440253,-73.04836957440253,2195.686434046573,0
5146,A,0.5622516210229944,0.4347826086956522,0.1274690123273422,0.056380524683247515,123.79395319143454,160.93213914886488,2356.618573195438,1
5147,A,0.43092620031375484,0.3508771929824561,0.08004900733129872,0.030829685255973144,72.65380887999586,-72.65380887999586,2283.964764315442,0
5148,A,0.6403511544162118,0.5145631067961165,0.12578804762009532,0.0647808445243491,147.9571662962103,-147.9571662962103,2136.007598019232,0
5149,B,0.567775051942726,0.3816793893129772,0.18609566262974886,0.07524238211264539,160.71829988567688,-160.71829988567688,1975.289298133555,0
5150,B,0.43708670233459723,0.3496503496503497,0.08743635268424754,0.03361128611249304,66.39201375451248,-66.39201375451248,1908.8972843790425,0
5152,B,0.4377685477360299,0.33333333333333337,0.10443521440269654,0.03916320540101122,74.75853643756896,-74.75853643756896,1834.1387479414736,0
5153,B,0.5715290893996894,0.24096385542168675,0.33056523397800264,0.10887664452450087,199.69487246823692,-199.69487246823692,1634.4438754732366,0
5154,A,0.43118763752949246,0.4,0.03118763752949244,0.012994848970621864,21.239351312732598,-21.239351312732598,1613.204524160504,0
5155,B,0.4368244351735817,0.3076923076923077,0.129132127481274,0.046631046034904505,75.22541442984468,-75.22541442984468,1537.9791097306593,0
5156,A,0.6749629329712682,0.5633187772925764,0.11164415567869179,0.06391627912605105,98.30190206758031,76.2030248585894,1614.1821345892486,1
5157,A,0.5618727266491894,0.4347826086956522,0.1270901179535372,0.05621293678714147,90.73791829459851,-90.73791829459851,1523.44421629465,0
5158,A,0.4318673406145476,0.37735849056603776,0.05450885004850986,0.021886129186144125,33.3422969257088,-33.3422969257088,1490.1019193689413,0
5159,B,0.5712109287077083,0.45871559633027525,0.11249533237743303,0.05195758995398392,77.42210451621585,-77.42210451621585,1412.6798148527255,0
5160,A,0.5656388099314938,0.29411764705882354,0.2715211628726703,0.09616374518407073,135.8485817421777,-135.8485817421777,1276.8312331105478,0
5161,B,0.5681527650944367,0.3816793893129772,0.1864733757814595,0.07539509946719507,96.26681782319109,155.95224487356953,1432.7834779841173,1
5164,B,0.5623535700951351,0.4347826086956521,0.12757096139948298,0.05642561754207899,80.84569254934156,-80.84569254934156,1351.9377854347758,0
5165,B,0.6721623658551423,0.5,0.17216236585514233,0.08608118292757116,116.37640381470639,116.37640381470639,1468.3141892494823,1
5166,B,0.4621882458312614,0.34482758620689646,0.11736065962436493,0.0447823569619287,65.75457015523524,-65.75457015523524,1402.559619094247,0
5168,A,0.42307272570787197,0.16666666666666666,0.2564060590412053,0.07692181771236159,107.88743535068697,-107.88743535068697,1294.67218374356,0
5169,A,0.6724417956478426,0.6453900709219857,0.02705172472585682,0.019071465931729027,24.691296445022527,13.566646398364027,1308.2388301419242,1
5170,A,0.4753648559587209,0.28169014084507044,0.19367471511365048,0.06740639594641756,88.18366457702466,-88.18366457702466,1220.0551655648994,0
5171,A,0.5624996508887484,0.4347826086956522,0.1277170421930962,0.05649023020079256,68.92119716042724,89.5975563085554,1309.6527218734548,1
5172,A,0.561224824421363,0.2,0.361224824421363,0.11288275763167593,147.8372107849059,-147.8372107849059,1161.8155110885489,0
5173,B,0.43245380045656723,0.3076923076923077,0.12476149276425952,0.045052761275982615,52.34299686780613,-52.34299686780613,1109.4725142207428,0
5175,B,0.660531635729285,0.5454545454545454,0.11507709027473956,0.06329239965110672,70.22117777197744,-70.22117777197744,1039.2513364487654,0
5176,A,0.34100359702460437,0.3225806451612903,0.018422951863314052,0.006798946520984952,7.065814258377296,-7.065814258377296,1032.1855221903882,0
5177,B,0.4340317828704209,0.41666666666666674,0.01736511620375414,0.007442192658751794,7.681723515715193,10.75441292200127,1042.9399351123893,1
5178,B,0.3606165070691957,0.2777777777777778,0.08283872929141789,0.028674944754721588,29.906245021840682,-29.906245021840682,1013.0336900905486,0
5179,B,0.451220452054798,0.2298850574712643,0.22133539458353368,0.0718514154058486,72.7879044868157,-72.7879044868157,940.2457856037329,0
5180,B,0.5684000179981605,0.3816793893129772,0.18672062868518335,0.07549506900542909,70.9839204662177,114.99395115527264,1055.2397367590056,1
5181,B,0.428944491332513,0.11111111111111116,0.31783338022140184,0.08939063818726928,94.32855350945354,-94.32855350945354,960.9111832495521,0
5182,A,0.42656988037473553,0.35714285714285715,0.06942702323187838,0.026999397923508257,25.94402340570382,-25.94402340570382,934.9671598438483,0
5183,B,0.6866826003649459,0.6031746031746033,0.08350799719034263,0.05261003822991591,49.18865802310076,32.36095922572419,967.3281190695725,1
